ID,Group
S_US_277,Spring_US
S_US_278,Spring_US
S_US_279,Spring_US
S_US_280,Spring_US
S_US_281,Spring_US
S_US_282,Spring_US
S_US_283,Spring_US
S_US_284,Spring_US
S_US_285,Spring_US
S_US_286,Spring_US
S_US_287,Spring_US
S_US_288,Spring_US
S_US_289,Spring_US
S_US_290,Spring_US
S_US_291,Spring_US
S_US_292,Spring_US
S_US_293,Spring_US
S_US_294,Spring_US
S_US_295,Spring_US
S_US_296,Spring_US
S_US_297,Spring_US
S_US_298,Spring_US
S_US_299,Spring_US
S_US_300,Spring_US
S_US_301,Spring_US
S_US_302,Spring_US
S_US_303,Spring_US
S_US_304,Spring_US
S_US_305,Spring_US
S_US_306,Spring_US
S_US_307,Spring_US
S_US_308,Spring_US
S_US_309,Spring_US
S_US_310,Spring_US
S_US_311,Spring_US
S_US_312,Spring_US
S_US_313,Spring_US
S_US_314,Spring_US
S_US_315,Spring_US
S_US_316,Spring_US
S_US_317,Spring_US
S_US_318,Spring_US
S_US_319,Spring_US
S_US_320,Spring_US
S_US_321,Spring_US
S_US_322,Spring_US
S_US_323,Spring_US
S_US_324,Spring_US
S_US_325,Spring_US
S_US_326,Spring_US
S_US_327,Spring_US
S_US_328,Spring_US
S_US_329,Spring_US
S_US_330,Spring_US
S_US_331,Spring_US
S_US_332,Spring_US
S_US_333,Spring_US
S_US_334,Spring_US
S_US_335,Spring_US
S_US_336,Spring_US
S_US_337,Spring_US
S_US_338,Spring_US
S_US_339,Spring_US
S_US_340,Spring_US
S_US_341,Spring_US
S_US_342,Spring_US
S_US_343,Spring_US
S_US_344,Spring_US
S_US_345,Spring_US
S_US_346,Spring_US
S_US_347,Spring_US
S_US_348,Spring_US
S_US_349,Spring_US
S_US_350,Spring_US
S_US_351,Spring_US
S_US_352,Spring_US
S_US_353,Spring_US
S_US_354,Spring_US
S_US_355,Spring_US
S_US_356,Spring_US
S_US_357,Spring_US
S_US_358,Spring_US
S_US_359,Spring_US
S_US_360,Spring_US
S_US_361,Spring_US
S_US_362,Spring_US
S_US_363,Spring_US
S_US_364,Spring_US
S_US_365,Spring_US
S_US_366,Spring_US
S_US_367,Spring_US
S_US_368,Spring_US
S_US_369,Spring_US
S_US_370,Spring_US
S_US_371,Spring_US
S_US_372,Spring_US
S_US_373,Spring_US
S_US_374,Spring_US
S_US_375,Spring_US
S_US_376,Spring_US
S_US_377,Spring_US
S_US_378,Spring_US
S_US_379,Spring_US
S_US_380,Spring_US
S_US_381,Spring_US
S_US_382,Spring_US
S_US_383,Spring_US
S_US_384,Spring_US
S_US_385,Spring_US
S_US_386,Spring_US
S_US_387,Spring_US
S_US_388,Spring_US
S_US_389,Spring_US
S_US_390,Spring_US
S_US_391,Spring_US
S_US_392,Spring_US
S_US_393,Spring_US
S_US_394,Spring_US
S_US_395,Spring_US
S_US_396,Spring_US
S_US_397,Spring_US
S_US_398,Spring_US
S_US_399,Spring_US
S_US_400,Spring_US
S_US_401,Spring_US
S_US_402,Spring_US
S_US_403,Spring_US
S_US_404,Spring_US
S_US_405,Spring_US
S_US_406,Spring_US
S_US_407,Spring_US
S_US_408,Spring_US
S_US_409,Spring_US
S_US_410,Spring_US
S_US_411,Spring_US
S_US_412,Spring_US
S_US_413,Spring_US
S_US_414,Spring_US
S_US_415,Spring_US
S_US_416,Spring_US
S_US_417,Spring_US
S_US_418,Spring_US
S_US_419,Spring_US
S_US_420,Spring_US
S_US_421,Spring_US
S_US_422,Spring_US
S_US_423,Spring_US
S_US_424,Spring_US
S_US_425,Spring_US
S_US_426,Spring_US
S_US_427,Spring_US
S_US_428,Spring_US
S_US_429,Spring_US
S_US_430,Spring_US
S_US_431,Spring_US
S_US_432,Spring_US
S_US_433,Spring_US
S_US_434,Spring_US
S_US_435,Spring_US
S_US_436,Spring_US
S_US_437,Spring_US
S_US_438,Spring_US
S_US_439,Spring_US
S_US_440,Spring_US
S_US_441,Spring_US
S_US_442,Spring_US
W_US_470,Winter_US
W_US_471,Winter_US
W_US_472,Winter_US
W_US_473,Winter_US
W_US_474,Winter_US
W_US_475,Winter_US
W_US_476,Winter_US
W_US_477,Winter_US
W_US_478,Winter_US
W_US_479,Winter_US
W_US_480,Winter_US
W_US_481,Winter_US
W_US_482,Winter_US
W_US_483,Winter_US
W_US_484,Winter_US
W_US_485,Winter_US
W_US_486,Winter_US
W_US_487,Winter_US
W_US_488,Winter_US
W_US_489,Winter_US
W_US_490,Winter_US
W_US_491,Winter_US
W_US_492,Winter_US
W_US_493,Winter_US
W_US_494,Winter_US
W_US_495,Winter_US
W_US_496,Winter_US
W_US_497,Winter_US
W_US_498,Winter_US
W_US_499,Winter_US
W_US_500,Winter_US
W_US_501,Winter_US
W_US_502,Winter_US
W_US_503,Winter_US
W_US_504,Winter_US
W_US_505,Winter_US
W_US_506,Winter_US
W_US_507,Winter_US
W_US_508,Winter_US
W_US_509,Winter_US
W_US_510,Winter_US
W_US_511,Winter_US
W_US_512,Winter_US
W_US_513,Winter_US
W_US_514,Winter_US
W_US_515,Winter_US
W_US_516,Winter_US
W_US_517,Winter_US
W_US_518,Winter_US
W_US_519,Winter_US
W_US_520,Winter_US
W_US_521,Winter_US
W_US_522,Winter_US
W_US_523,Winter_US
W_US_524,Winter_US
W_US_525,Winter_US
W_US_526,Winter_US
W_US_527,Winter_US
W_US_528,Winter_US
W_US_529,Winter_US
W_US_530,Winter_US
W_US_531,Winter_US
W_US_532,Winter_US
W_US_533,Winter_US
W_US_534,Winter_US
W_US_535,Winter_US
W_US_536,Winter_US
W_US_537,Winter_US
W_US_538,Winter_US
W_US_539,Winter_US
W_US_540,Winter_US
W_US_541,Winter_US
W_US_542,Winter_US
W_US_543,Winter_US
W_US_544,Winter_US
W_US_545,Winter_US
W_US_546,Winter_US
W_US_547,Winter_US
W_US_548,Winter_US
W_US_549,Winter_US
W_US_550,Winter_US
W_US_551,Winter_US
W_US_552,Winter_US
W_US_553,Winter_US
W_US_554,Winter_US
W_US_555,Winter_US
W_US_556,Winter_US
W_US_557,Winter_US
W_US_558,Winter_US
W_US_559,Winter_US
W_US_560,Winter_US
W_US_561,Winter_US
W_US_562,Winter_US
W_US_563,Winter_US
W_US_564,Winter_US
W_US_565,Winter_US
W_US_566,Winter_US
W_US_567,Winter_US
W_US_568,Winter_US
W_US_569,Winter_US
W_US_570,Winter_US
W_US_571,Winter_US
W_US_572,Winter_US
W_US_573,Winter_US
W_US_574,Winter_US
W_US_575,Winter_US
W_US_576,Winter_US
W_US_577,Winter_US
W_US_578,Winter_US
W_US_579,Winter_US
W_US_580,Winter_US
W_US_581,Winter_US
W_US_582,Winter_US
W_US_583,Winter_US
W_US_584,Winter_US
W_US_585,Winter_US
W_US_586,Winter_US
W_US_587,Winter_US
W_US_588,Winter_US
W_US_589,Winter_US
W_US_590,Winter_US
W_US_591,Winter_US
W_US_592,Winter_US
W_US_593,Winter_US
W_US_594,Winter_US
W_US_595,Winter_US
